ID,Label,Villager,Required Indoor Furniture 1,Required Indoor Furniture 2,Required Indoor Furniture 3,Required Outdoor Furniture 1,Required Outdoor Furniture 2,Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ant00,Cyrano,stacked bags,unfolded reference sheet,,excavator,,Agent K.K.,folding chair,plastic bench,long folding table,bunk bed,short file cabinet,tall file cabinet,tool cart,tool shelf,copy machine,portable toilet,whiteboard,drink machine,bulldozer,steamroller,cement mixer,jackhammer,outdoor generator,safety barrier,construction sign,cone,tire stack,oil barrel,stepladder,construction scaffolding,iron frame,manhole cover,fire hydrant,utility pole,handcart,garden faucet,cardboard box,handy water cooler,bottled beverage,tape deck,nearly busted radio,office materials,toolbox,rotary phone,public telephone,fax machine,plastic canister,metal can,extinguisher,Cyrano's photo,light switch,breaker,wall fan,wall-mounted tool board,Cyrano's poster,hanging lightbulb,fluorescent light,steel-frame wall,gray shanty wall,tent wall,construction-site wall,tree-lined wall,concrete flooring,steel flooring,tent flooring,construction-site flooring,sandlot,simple entrance mat,aluminum rug,rough rug,rubber mud mat,safety vest (Black),safety vest (Orange),tank (White),tank (Black),tank (Red),tank (Navy blue),tank (Brown),tee and towel (White towel & white shirt),tee and towel (Red towel & white shirt),tee and towel (Blue towel & white shirt),tee and towel (Black towel & white shirt),tee and towel (Pink towel & black shirt),tee and towel (Orange towel & black shirt),tee and towel (Green towel & black shirt),worker's jacket (Light blue),worker's jacket (Navy blue),worker's jacket (Beige),jumper work suit (Black),jumper work suit (Red),jumper work suit (Pink),jumper work suit (Orange),jumper work suit (Yellow),jumper work suit (Green),jumper work suit (Blue),jumper work suit (Brown),safety helmet (Black),safety helmet (Orange),safety helmet (Yellow),safety helmet (Green),safety helmet (Blue),terry-cloth do-rag (White),terry-cloth do-rag (Black),terry-cloth do-rag (Berry red),terry-cloth do-rag (Yellow),terry-cloth do-rag (Blue),terry-cloth do-rag (Brown),welding mask (Red),work boots (White),work boots (Gray),work boots (Red),work boots (Pink),work boots (Yellow),work boots (Green),work boots (Blue),work boots (Purple),shovel,canned coffee,barbed-wire fence,rope fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ant01,Antonio,simple table,simple chair,simple bed,,,Space K.K.,simple stool,double sofa,simple sofa,small café table,wooden low table,large café table,simple small dresser,simple panel,short simple panel,simple DIY workbench,stylish spotlight,refrigerator,outdoor air conditioner,plain sink,monstera,schefflera,wooden waste bin,plain wooden shop sign,simple well,cardboard box,mug,cookies,plain cupcakes,plain scones,carton beverage,Nintendo Switch Lite,upright speaker,Antonio's photo,stylish wall spotlight,wall-mounted TV (20 in.),air conditioner,Antonio's poster,simple shaded lamp,hanging lightbulb,blue simple-cloth wall,white simple-cloth wall,yellow simple-cloth wall,basic wall,simple blue flooring,simple purple flooring,simple red flooring,simple white flooring,simple small black mat,simple small blue mat,simple small brown mat,simple small red mat,simple parka (Gray),simple parka (Black),simple parka (Red),simple parka (Pink),simple parka (Yellow),simple parka (Green),simple parka (Light blue),simple parka (Blue),sweatshirt (Gray),sweatshirt (Red),sweatshirt (Yellow),sweatshirt (Green),sweatshirt (Blue),sweatshirt (Purple),simple sunglasses (Black),simple sunglasses (Red),simple sunglasses (Orange),simple sunglasses (Yellow),simple sunglasses (Lime),simple sunglasses (White),white cosmos,white hyacinths,white lilies,white mums,white pansies,white roses,white tulips,white windflowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ant02,Pango,whirlpool bath,nail-art set,fan palm,,,K.K. Oasis,antique chair,rattan armchair,rattan stool,antique mini table,rattan end table,antique console table,rattan low table,antique table,antique bureau,poolside bed,antique bed,rattan bed,rattan wardrobe,antique wardrobe,rattan vanity,antique vanity,shoji divider,Pisces lamp,rattan waste bin,antique clock,cube light,ring light,glass holder with candle,dispenser,rattan towel basket,fragrance sticks,aroma pot,fragrance diffuser,humidifier,Pango's photo,Pango's poster,wooden pendant light,white botanical-tile wall,beige Moroccan wall,lattice wall,orange Moroccan-style wall,arched-window wall,rattan flooring,artsy parquet flooring,stone tile,brown argyle-tile flooring,blue Persian rug,purple Persian rug,red Persian rug,yellow Persian rug,botanical rug,ivory medium round mat,ivory small round mat,bathrobe (White),bathrobe (Black),bathrobe (Pink),bathrobe (Green),bathrobe (Blue),bathrobe (Purple),bathrobe (Brown),headband (Pink),headband (Green),headband (Blue),headband (Purple),matronly bun (Hair Color),cucumber pack,facial mask,pink lilies,red lilies,red roses,white roses,yellow lilies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ant03,Anabelle,elegant sofa,,,park clock,,K.K. Calypso,garden bench,retro transportation stop,elegant console table,elegant bed,elegant dresser,castle gate,plaza arch,ruined arch,torii,fan palm,round topiary,triangular topiary,baobab,cactus,titan arum,glowing-moss balloon,small mannequin,dress mannequin,drink machine,inflatable plaza toy,plaza ferris wheel,plaza merry-go-round,plaza train,plaza clock,doghouse,wooden field sign,glowing-moss pond,dormant volcano,fountain,sword,samurai suit,stone tablet,glowing-moss statue,familiar statue,desk mirror,fancy tea set,cookies,cherry tart,glass holder with candle,Casablanca lilies,puppy plushie,Anabelle's photo,floral sconce,wall-mounted candle,pendulum clock,fancy frame,deer decoration,glowing-moss wreath,common painting,Anabelle's poster,milk-glass lamp,white hallway wall,green molded-panel wall,blue-rose wall,backyard-fence wall,argyle tile flooring,green rubber flooring,simple blue flooring,backyard lawn,blue Persian rug,purple Persian rug,red Persian rug,yellow Persian rug,garden tank (Pink),garden tank (Orange),garden tank (Green),garden tank (Blue),hibiscus muumuu (Red),hibiscus muumuu (Pink),hibiscus muumuu (Yellow),straw boater (Monotone),straw boater (Pink),straw boater (Brown),straw boater (Light blue),straw boater (Dark brown),straw boater (Beige),straw boater (Light brown),straw boater (Cream),straw pochette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ant05,Zoe,dreamy shelves,inflatable bird ring,,palm-tree lamp,,K.K. Slack-Key,cute chair,rattan armchair,rattan stool,cute sofa,cute tea table,rattan low table,covered counter,dreamy bed,rattan bed,cute bed,cute wardrobe,rattan wardrobe,wooden bookshelf,cute vanity,rattan vanity,wood partition,small wooden partition,medium wooden partition,cute floor lamp,plain sink,fan palm,yucca,rattan waste bin,wooden box,infused-water dispenser,decorative bottles,fruit basket,frosted cookies,apple jelly,mixed-fruits crepe,coconut pancakes,fruit-topped pancakes,coconut milk,colorful juice,coconut juice,cute music player,ukulele,book,makeup pouch,Zoe's photo,wall shelf with bottles,dreamy wall rack,cute wall-mounted clock,party garland,tapestry,macrame tapestry,butterfly-fish model,Zoe's poster,green painted-wood wall,retro flower-print wall,starry-sky wall,tropical vista,birch flooring,blue floral flooring,brown floral flooring,green floral flooring,yellow floral flooring,cute-paint flooring,white-paint flooring,blue Hawaiian quilt rug,green Hawaiian quilt rug,pink Hawaiian quilt rug,yellow Hawaiian quilt rug,yellow medium round mat,lacy rug,hula top (Red),hula top (Orange),hula top (Green),hula top (Purple),hula top (Beige),hibiscus muumuu (Red),hibiscus muumuu (Pink),hibiscus muumuu (Yellow),tropical muumuu (White),tropical muumuu (Pink),tropical muumuu (Yellow),tropical muumuu (Mint),tropical muumuu (Blue),ribboned straw hat (Black),ribboned straw hat (Pink),ribboned straw hat (Light blue),maracas,coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ant06,Snooty,pool,fan palm,,,,Aloha K.K.,garden chair,iron garden chair,lawn chair,peacock chair,simple stool,boxy stool,garden table,iron garden table,poolside bed,beach towel,beach chairs with parasol,iron closet,powder-room booth,palm-tree lamp,bubble machine,shower booth,fancy bathroom vanity,yucca,inflatable bird ring,lifeguard chair,life ring,coconut juice,cassette player,upright speaker,rattan towel basket,makeup pouch,beach ball,Snooty's photo,shower set,bathroom towel rack,hanging terrarium,butterfly-fish model,Snooty's poster,ceiling fan,wavy-tile wall,monochromatic-tile wall,black window-panel wall,white window-panel wall,stone tile,random-square-tile flooring,gray argyle-tile flooring,white mosaic-tile flooring,botanical rug,simple navy bath mat,natural wooden-deck rug,summer-shell rug,hibiscus muumuu (Red),hibiscus muumuu (Pink),hibiscus muumuu (Yellow),tropical muumuu (White),tropical muumuu (Pink),tropical muumuu (Yellow),tropical muumuu (Mint),tropical muumuu (Blue),flip-flops (White),flip-flops (Red),flip-flops (Pink),flip-flops (Orange),flip-flops (Yellow),flip-flops (Green),flip-flops (Light blue),flip-flops (Blue),ribbon sandals (White),ribbon sandals (Beige),ribbon sandals (Black),ribbon sandals (Berry red),ribbon sandals (Pink),ribbon sandals (Yellow),ribbon sandals (Green),ribbon sandals (Blue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ant08,Annalisa,screen,Japanese-style meal,super-premium nigirizushi,,,King K.K.,wooden chair,zen cushion,round pillow,floor seat,wood-plank table,zen low table,wooden table,counter table,futon,stair dresser,clay furnace,kitchen counter,paper lantern,bonsai shelf,standing shop sign,elaborate kimono stand,tokonoma,senmaizuke barrel,stacked senmaizuke barrels,deer scare,stacked bottle crates,knife block,carp on a cutting board,stewpot,revolving spice rack,yunomi teacup,veggie basket,aji fry,karei no nitsuke,sautéed olive flounder,jarred bamboo shoots,sardines in oil,cherry-blossom bonsai,pine bonsai tree,modern cash register,lucky gold cat,pot,Annalisa's photo,bamboo wall decoration,Annalisa's poster,zen light,zen architecture wall,screen wall,shoji screen,soothing tearoom wall,old board flooring,rush tatami flooring,tatami flooring,gravel flooring,brown kitchen mat,light bamboo rug,tatami mat,cherry-blossom rug,sushi chef's outfit (White),sushi chef's outfit (Dark blue),flashy kimono (White),flashy kimono (Red),flashy kimono (Gold),flashy kimono (Green),flashy kimono (Blue),flashy kimono (Fuchsia),Noh mask (White),sushi chef hat (White),sushi chef hat (Dark blue),kimono sandals (Gray),kimono sandals (Black),kimono sandals (Red),kimono sandals (Pink),kimono sandals (Yellow),kimono sandals (Green),kimono sandals (Dark blue),kimono sandals (Purple),bamboo tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ant09,Olaf,whirlpool bath,antique bed,,,,K.K. Jazz,antique chair,reception chair,piano bench,antique mini table,small covered round table,safe,antique wardrobe,serving cart,curtain partition,floor lamp,hi-fi stereo,grand piano,mini fridge,tankless toilet,cypress plant,billiard table,fine vase,table setting,fancy tea set,seafood ajillo,carpaccio di capesante,elegant lamp,fancy violin,dispenser,rattan towel basket,wristwatch,ring,fragrance diffuser,Olaf's photo,floral sconce,wall-mounted TV (50 in.),pendulum clock,deer decoration,dark rose wreath,gold rose wreath,famous painting,worthy painting,Olaf's poster,candle chandelier,black-crown wall,starry-sky wall,fireworks-show wall,cityscape wall,black-brick flooring,lobby flooring,rose flooring,simple red flooring,purple shaggy rug,purple Persian rug,black wooden-deck rug,starry-skies rug,noble coat (White),noble coat (Black),noble coat (Red),noble coat (Ruby red),noble coat (Yellow),noble coat (Green),noble coat (Blue),noble coat (Purple),noble pants (White),noble pants (Black),noble pants (Red),noble pants (Ruby red),noble pants (Yellow),noble pants (Green),noble pants (Blue),noble pants (Purple),noble dress (White),noble dress (Black),noble dress (Red),noble dress (Ruby red),noble dress (Yellow),noble dress (Green),noble dress (Blue),noble dress (Purple),star hairpin (Black),star hairpin (Pink),star hairpin (Yellow),star hairpin (Mint),star hairpin (Purple),star shades (Pink),star shades (Yellow),star shades (Green),star shades (Blue),star shades (Purple),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,bea00,Teddy,cardboard box,pile of cardboard boxes,,truck,,K.K. March,simple sofa,simple table,cardboard table,simple bed,cardboard bed,plastic clothing organizer,wooden chest,wooden bookshelf,ranch cupboard,hanger rack,ranch kitchen,compact kitchen,upright vacuum,refrigerator,wooden waste bin,small cardboard boxes,medium cardboard boxes,large cardboard boxes,rolling cart,caged cart,mop,cone,stepladder,fresh-food trays,cans,dinnerware,pizza margherita,instant noodles,LCD TV (20 in.),tangled cords,stack of books,stacked magazines,office materials,stack of clothes,stacked shoeboxes,Teddy's photo,ventilation fan,log wall-mounted clock,breaker,Teddy's poster,shaded pendant lamp,hanging lightbulb,cabin wall,modern wood wall,yellow-paint wall,white simple-cloth wall,modern wood flooring,white-paint flooring,brown honeycomb tile,orange retro flooring,sloppy rug,yellow checked rug,yellow kitchen mat,tree-stump rug,athletic jacket (Black),athletic jacket (Berry red),athletic jacket (Red),athletic jacket (Green),athletic jacket (Blue),athletic jacket (Navy blue),jumper work suit (Black),jumper work suit (Red),jumper work suit (Pink),jumper work suit (Orange),jumper work suit (Yellow),jumper work suit (Green),jumper work suit (Blue),jumper work suit (Brown),tube socks (Red),tube socks (Orange),tube socks (Green),tube socks (Blue),tube socks (Berry red),tube socks (Dark green),tube socks (Navy blue),tube socks (Purple),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,bea01,Pinky,imperial low table,monstera,incense burner,,,Imperial K.K.,imperial dining chair,imperial bed,imperial chest,wooden full-length mirror,upright vacuum,golden toilet,Mama panda,Papa panda,infused-water dispenser,golden dishes,traditional tea set,bamboo-shoot soup,bread gratin,gnocchi di patate,spaghetti carbonara,pumpkin pound cake,Chinese-style meal,peach smoothie,golden candlestick,piggy bank,Baby panda,lucky gold cat,Pinky's photo,gold rose wreath,flowery painting,Pinky's poster,imperial lamp,festival lantern,festival-lantern set,yellow-paint wall,harmonious wall,imperial wall,lattice wall,rattan flooring,brown floral flooring,floral rush-mat flooring,imperial tile,imperial rug,green exquisite rug,red exquisite rug,dark bamboo rug,light bamboo rug,silk floral-print shirt (Gray),silk floral-print shirt (Pink),silk floral-print shirt (Orange),silk floral-print shirt (Mustard),silk floral-print shirt (Green),silk floral-print shirt (Blue),silk floral-print shirt (Purple),embroidered shoes (White),embroidered shoes (Black),embroidered shoes (Red),embroidered shoes (Blue),panda umbrella,orange pansies,orange pumpkin,white pumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
