Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
? Block,#REF!,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,1350,337,Yellow,White,1x1,No,NA,NA,Nook Shopping Promotion,Not available before March 1st 2021,NA,NA,201,fancy,child's room,Mario,None,None,No,Mario,Yes,Does not play music,No lighting,Not in catalog,1.8.0,Yes,FtrMarioSquareA,NA,13821,mxpHakMcmNJgMH5eo
2021 celebratory arch,#REF!,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,2021,505,Yellow,Gray,3x1,No,NA,NA,Nook Shopping Seasonal,,New Year's Day (2021),Yes,201,party,None,None,None,None,No,Arch,Yes,Does not play music,No lighting,Seasonal,1.6.0,Yes,Ftr2021Arch,NA,13543,kzegJttZt8DzxwamN
2022 celebratory arch,#REF!,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,2022,505,Aqua,Gray,3x1,No,NA,NA,Nook Shopping Seasonal,,New Year's Day (2022),Yes,201,party,None,None,None,None,No,Arch,Yes,Does not play music,No lighting,Seasonal,2.0.0,Yes,Ftr2022Arch,NA,14590,7sEJLEMRhmr8kh4pG
ABD,#REF!,Silver,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Gray,Gray,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_0_0,0_0,14575,pdwvaGBRsGoyDWcuC
ABD,#REF!,Blue,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Blue,Aqua,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_1_0,1_0,14575,8C6KfKTkJ3QLc4ZL9
ABD,#REF!,Yellow,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Yellow,Gray,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_2_0,2_0,14575,uPjaQLa2orrPGTofd
ABD,#REF!,Red,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Red,White,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_3_0,3_0,14575,uZctRXKg5NeSGiX6w
ABD,#REF!,Green,Color,NA,NA,No,No,No,NA,NA,None,8000,NFS,49500,Green,Green,1x1,No,9900,Nook Miles,Nook Miles Redemption,,NA,NA,151,facility,city life,None,None,None,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_4_0,4_0,14575,WGRGqoKMrQyjombYq
acoustic guitar,#REF!,Natural,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Beige,Brown,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_0_0,0_0,383,EpywQXABBcv2dipsP
acoustic guitar,#REF!,Cherry,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Red,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_1_0,1_0,383,K9she5Y4SuXA8MGBR
acoustic guitar,#REF!,Brown,Color,NA,NA,Yes,Yes,No,NA,5,Normal,3800,NFS,3210,Brown,Black,1x1,No,NA,NA,Crafting,,NA,NA,103,music,None,None,None,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_2_0,2_0,383,vLq9iphAvALBXazDr
